Global Volcanism Program - Volcanoes of the World 5.1.7,,,Downloaded on 30 May 2024 at 04:39 PM,,,,,,,,,,,,,,,,,,,,,,
Volcano Number,Volcano Name,Primary Volcano Type,Last Eruption Year,Country,Region,Subregion,Latitude,Longitude,Elevation,Tectonic Settings,Evidence Category,Major Rock 1,Major Rock 2,Major Rock 3,Major Rock 4,Major Rock 5,Minor Rock 1,Minor Rock 2,Minor Rock 3,Minor Rock 4,Minor Rock 5,Population within 5 km,Population within 10 km,Population within 30 km,Population within 100 km
331040,Escanaba Segment,Fissure vent(s),-2260,United States,Hawaii and Pacific Ocean,Pacific Ocean (northern),40.98,-127.5,-1700,Rift zone / Oceanic crust (< 15 km),Eruption Dated,Basalt / Picro-Basalt, , , , , , , , , ,0,0,0,0
284210,Esmeralda Bank,Stratovolcano,Unknown,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",14.958,145.249,-74,Subduction zone / Crustal thickness unknown,Unrest / Holocene,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,0,0,0,84578
284140,Farallon de Pajaros,Stratovolcano,1953,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",20.546,144.893,337,Subduction zone / Crustal thickness unknown,Eruption Observed,Andesite / Basaltic Andesite, , , , , , , , , ,0,0,0,0
311350,Fisher,Stratovolcano,1830,United States,Alaska,Aleutian Islands,54.65,-164.43,1112,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite,Basalt / Picro-Basalt,Trachyte / Trachydacite, , , , , , ,0,0,0,25
284220,Forecast Seamount,Stratovolcano,Unknown,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",13.4,143.92,-1456,Subduction zone / Crustal thickness unknown,Unrest / Holocene,No Data (checked), , , , , , , , , ,0,0,0,143992
320010,Fort Selkirk,Volcanic field,Unknown,Canada,Canada and Western USA,Canada,62.93,-137.38,1239,Intraplate / Continental crust (>25 km),Evidence Uncertain,Trachybasalt / Tephrite Basanite,Basalt / Picro-Basalt,Foidite, , , , , , , ,6,6,6,491
312260,Fourpeaked,Stratovolcano,2006,United States,Alaska,Alaska Peninsula,58.77,-153.672,2105,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite, , , , , , , , , ,0,0,0,165
312010,Frosty,Stratovolcano(es),Unknown,United States,Alaska,Alaska Peninsula,55.067,-162.835,1728,Subduction zone / Continental crust (>25 km),Evidence Credible,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , ,0,0,67,1153
284133,Fukujin,Stratovolcano,1974,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",21.93,143.47,-217,Subduction zone / Crustal thickness unknown,Eruption Observed,Andesite / Basaltic Andesite, , , , , , , , , ,0,0,0,0
311070,Gareloi,Stratovolcano,1989,United States,Alaska,Aleutian Islands,51.79,-178.794,1573,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,0,0,0,0
320200,Garibaldi,Stratovolcano,-8060,Canada,Canada and Western USA,Canada,49.85,-123,2678,Subduction zone / Continental crust (>25 km),Eruption Dated,Dacite,Andesite / Basaltic Andesite, , , , , , , , ,0,22,16058,2264818
320190,Garibaldi Lake,Volcanic field,Unknown,Canada,Canada and Western USA,Canada,49.933,-123,2316,Subduction zone / Continental crust (>25 km),Evidence Credible,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , ,Dacite,Trachyandesite / Basaltic Trachyandesite, , , ,6635,6635,28109,2218089
321020,Glacier Peak,Stratovolcano,1700,United States,Canada and Western USA,USA (Washington),48.112,-121.113,3213,Subduction zone / Continental crust (>25 km),Eruption Dated,Dacite,Andesite / Basaltic Andesite, , , ,Basalt / Picro-Basalt, , , , ,0,0,23,1340896
341097,"Gloria, La",Volcanic field,Unknown,Mexico,México and Central America,Mexico,19.33,-97.25,3500,Subduction zone / Continental crust (>25 km),Evidence Credible,Andesite / Basaltic Andesite,Trachyandesite / Basaltic Trachyandesite,Basalt / Picro-Basalt, , ,Dacite, , , , ,108512,108512,290739,5697562
311120,Great Sitkin,Stratovolcano,2024,United States,Alaska,Aleutian Islands,52.076,-176.13,1740,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , ,Trachyte / Trachydacite, , , , ,0,0,0,0
312190,Griggs,Stratovolcano,-1790,United States,Alaska,Alaska Peninsula,58.354,-155.092,2317,Subduction zone / Continental crust (>25 km),Eruption Dated,Andesite / Basaltic Andesite, , , , ,Dacite, , , , ,0,0,0,654
284190,Guguan,Stratovolcano,1883,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",17.307,145.845,287,Subduction zone / Crustal thickness unknown,Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , ,0,0,0,0
332060,Haleakala,Shield,1750,United States,Hawaii and Pacific Ocean,Hawaiian Islands,20.708,-156.25,3055,Intraplate / Oceanic crust (< 15 km),Eruption Dated,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite, , , , , , , , ,26074,26074,65398,157582
313050,Hayes,Stratovolcano,1200,United States,Alaska,Alaska (southwestern),61.64,-152.411,3034,Subduction zone / Continental crust (>25 km),Eruption Dated,Dacite, , , , , , , , , ,0,0,0,151
320040,Heart Peaks,Shield,Unknown,Canada,Canada and Western USA,Canada,58.6,-131.97,2012,Intraplate / Continental crust (>25 km),Evidence Uncertain,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Rhyolite, , ,Trachyte / Trachydacite, , , , ,0,0,0,261
324040,Hell's Half Acre,Shield,-3250,United States,Canada and Western USA,USA (Idaho),43.5,-112.45,1631,Rift zone / Continental crust (>25 km),Eruption Dated,Basalt / Picro-Basalt, , , , , , , , , ,0,305,12646,295506
311220,Herbert,Stratovolcano,Unknown,United States,Alaska,Aleutian Islands,52.742,-170.111,1280,Subduction zone / Intermediate crust (15-25 km),Evidence Credible,Andesite / Basaltic Andesite, , , , , , , , , ,0,0,0,30
322010,Hood,Stratovolcano,1866,United States,Canada and Western USA,USA (Oregon),45.374,-121.695,3426,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite, , , , ,Dacite, , , , ,0,850,9721,2067520
320080,Hoodoo Mountain,Pyroclastic cone(s),-7050,Canada,Canada and Western USA,Canada,56.78,-131.28,1850,Intraplate / Continental crust (>25 km),Eruption Dated,Phonolite,Trachyte / Trachydacite, , , ,Basalt / Picro-Basalt, , , , ,0,0,0,2330
