Global Volcanism Program - Volcanoes of the World 5.1.7,,,Downloaded on 31 May 2024 at 03:23 PM,,,,,,,,,,,,,,,,,,,,,,
Volcano Number,Volcano Name,Primary Volcano Type,Last Eruption Year,Country,Region,Subregion,Latitude,Longitude,Elevation,Tectonic Settings,Evidence Category,Major Rock 1,Major Rock 2,Major Rock 3,Major Rock 4,Major Rock 5,Minor Rock 1,Minor Rock 2,Minor Rock 3,Minor Rock 4,Minor Rock 5,Population within 5 km,Population within 10 km,Population within 30 km,Population within 100 km
354007,Chanchani,"Synonym of Chachani, Nevado",,,,,,,,,,,,,,,,,,,,,,,
357140,"Chancho, Volcán",Pyroclastic cone of Carran-Los Venados,,,,,,,,,,,,,,,,,,,,,,,
357090,"Chanchoco, Termas de",Thermal of Copahue,,,,,,,,,,,,,,,,,,,,,,,
357110,Chanel,Synonym of Llaima,,,,,,,,,,,,,,,,,,,,,,,
355094,Chascón de Purico,"Synonym of Chascón, Cerro el",,,,,,,,,,,,,,,,,,,,,,,
357140,"Chascon Norte, Cerro",Pyroclastic cone of Carran-Los Venados,,,,,,,,,,,,,,,,,,,,,,,
357140,"Chascon Sur, Cerro",Pyroclastic cone of Carran-Los Venados,,,,,,,,,,,,,,,,,,,,,,,
355093,"Chascon, Cerro",Dome of Guayaques,,,,,,,,,,,,,,,,,,,,,,,
355094,"Chascón, Cerro el",Dome of Purico Complex,,,,,,,,,,,,,,,,,,,,,,,
353120,Chatham,Synonym of San Cristobal,,,,,,,,,,,,,,,,,,,,,,,
357066,Chato,Pyroclastic cone of Payun Matru,,,,,,,,,,,,,,,,,,,,,,,
357066,Chato Segundo,Pyroclastic cone of Payun Matru,,,,,,,,,,,,,,,,,,,,,,,
351080,Chavas,Crater of Galeras,,,,,,,,,,,,,,,,,,,,,,,
357110,Chayll,Synonym of Llaima,,,,,,,,,,,,,,,,,,,,,,,
354030,Chequepuquina,Synonym of Huaynaputina,,,,,,,,,,,,,,,,,,,,,,,
353050,"Chico, Volcán","Fissure vent of Negra, Sierra",,,,,,,,,,,,,,,,,,,,,,,
357123,Chihuio,Stratovolcano of Huanquihue Group,,,,,,,,,,,,,,,,,,,,,,,
354030,"Chilcas, Cerro las",Dome of Huaynaputina,,,,,,,,,,,,,,,,,,,,,,,
354004,"Chilcayoc Grande, Volcán",Pyroclastic cone of Andahua-Orcopampa,,,,,,,,,,,,,,,,,,,,,,,
354004,"Chilcayoc, Volcánes",Pyroclastic cone of Andahua-Orcopampa,,,,,,,,,,,,,,,,,,,,,,,
